Stime,srcip,sport,dstip,dsport,proto,service,dur,sbytes,dbytes,state,Spkts,Dpkts,is_sm_ips_ports,ct_srv_src,ct_srv_dst,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_dst_ltm,ct_src_ltm,sttl,dttl,trans_depth,res_len,ct_flw_http_mthd,smeansz,dmeansz,swin,dwin,stcpb,dtcpb
1593625700.0315778,10.0.2.15,51156,10.0.2.5,136,tcp,-,0.000005,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,2798840728,0
1593625700.031724,10.0.2.15,36856,10.0.2.5,36,tcp,-,0.000023,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,984837321,0
1593625700.031755,10.0.2.15,44768,10.0.2.5,9292,tcp,-,0.000004,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,2094497934,0
1593625700.031868,10.0.2.15,50518,10.0.2.5,1695,tcp,-,0.000010,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,2289590112,0
1593625700.0318868,10.0.2.15,53880,10.0.2.5,9306,tcp,-,0.000006,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,1406747235,0
1593625700.0319731,10.0.2.15,46232,10.0.2.5,4060,tcp,-,0.000008,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,1451807362,0
1593625700.032029,10.0.2.15,59916,10.0.2.5,309,tcp,-,0.000008,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,3937844322,0
1593625700.0320868,10.0.2.15,39484,10.0.2.5,2567,tcp,-,0.000008,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,3302427120,0
1593625700.0321019,10.0.2.15,56446,10.0.2.5,5554,tcp,-,0.000005,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,3102467647,0
1593625700.0321481,10.0.2.15,47298,10.0.2.5,608,tcp,-,0.000008,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,4294095882,0
1593625700.0321631,10.0.2.15,48874,10.0.2.5,6045,tcp,-,0.000004,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,4238466572,0
1593625700.032208,10.0.2.15,48836,10.0.2.5,1812,tcp,-,0.000008,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,2073232542,0
1593625700.032223,10.0.2.15,53054,10.0.2.5,5050,tcp,-,0.000004,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,2229854151,0
1593625700.032455,10.0.2.15,45216,10.0.2.5,4369,tcp,-,0.000012,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,1661163558,0
1593625700.032475,10.0.2.15,50150,10.0.2.5,7675,tcp,-,0.000005,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,1707316163,0
1593625700.032499,10.0.2.15,36122,10.0.2.5,35356,tcp,-,0.000004,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,2864490442,0
1593625700.032527,10.0.2.15,56396,10.0.2.5,1703,tcp,-,0.000005,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,3818963553,0
1593625700.032537,10.0.2.15,38598,10.0.2.5,2732,tcp,-,0.000004,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,1702946599,0
1593625700.032547,10.0.2.15,51528,10.0.2.5,362,tcp,-,0.000005,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,2764433044,0
1593625700.032558,10.0.2.15,47542,10.0.2.5,3356,tcp,-,0.000005,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,6528444,0
1593625700.032568,10.0.2.15,36348,10.0.2.5,33334,tcp,-,0.000005,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,4027874085,0
1593625700.032578,10.0.2.15,53774,10.0.2.5,6551,tcp,-,0.000005,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,2672454877,0
1593625700.032588,10.0.2.15,38722,10.0.2.5,7013,tcp,-,0.000005,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,4224378066,0
1593625700.032684,10.0.2.15,42664,10.0.2.5,2900,tcp,-,0.000008,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,1250477576,0
