"@stream","@system","@proc","ts","uid","id_orig_h","id_orig_p","id_resp_h","id_resp_p","proto","service","duration","orig_bytes","resp_bytes","conn_state","missed_bytes","history","orig_pkts","orig_ip_bytes","resp_pkts","resp_ip_bytes","orig_l2_addr","resp_l2_addr"
"conn","bobs.bigwheel.local","zeek","1588206999.298524","CyioV230X8SjWLCVv7","10.0.1.4","60819","10.0.1.6","55121","tcp","","3.0148510932922363","0","0","S0","0","S","3","156","0","0","fc:bd:67:e1:a9:c1","00:0d:3a:13:e3:69"
"conn","bobs.bigwheel.local","zeek","1588207006.317093","CSC0rtrsiwUcNkBFj","10.0.1.4","60819","10.0.1.6","55121","tcp","","","","","S0","0","S","1","52","0","0","fc:bd:67:e1:a9:c1","00:0d:3a:13:e3:69"
"conn","bobs.bigwheel.local","zeek","1588207000.048842","CNYQPs1FUA67YVhi82","10.0.1.6","57052","10.0.0.4","445","tcp","gssapi,smb,krb","10.923789978027344","4020","1681","RSTO","0","ShADdaR","12","1307","11","2133","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588207014.326995","CrsYDUgD5i7M3j82i","10.0.1.4","60819","10.0.1.6","55121","tcp","","","","","S0","0","S","1","52","0","0","fc:bd:67:e1:a9:c1","00:0d:3a:13:e3:69"
"conn","bobs.bigwheel.local","zeek","1588206977.865701","Cs3irr4o3I2yBwCpLh","10.0.1.4","60815","10.0.1.6","135","tcp","dce_rpc","42.45286512374878","496","452","RSTO","0","ShADdR","8","828","4","624","fc:bd:67:e1:a9:c1","00:0d:3a:13:e3:69"
"conn","bobs.bigwheel.local","zeek","1588206977.825393","CLzAGR9pPWloPMLlj","10.0.1.4","60811","10.0.1.6","445","tcp","gssapi","53.64974498748779","193627","30239","RSTO","0","ShADdaR","96","197479","90","14687","fc:bd:67:e1:a9:c1","00:0d:3a:13:e3:69"
"conn","bobs.bigwheel.local","zeek","1588207073.361605","CxvY9A1X7ZdYkH6oPg","10.0.1.4","60829","10.0.1.6","55121","tcp","","3.008784055709839","0","0","S0","0","S","3","156","0","0","fc:bd:67:e1:a9:c1","00:0d:3a:13:e3:69"
"conn","bobs.bigwheel.local","zeek","1588207080.376198","CZbC5z8h1tfhEPOy6","10.0.1.4","60829","10.0.1.6","55121","tcp","","","","","S0","0","S","1","52","0","0","fc:bd:67:e1:a9:c1","00:0d:3a:13:e3:69"
"conn","bobs.bigwheel.local","zeek","1588207080.205604","C2HWDv1d5BdLiKMLG9","10.0.1.6","51985","10.0.0.4","53","udp","dns","0.001931905746459961","36","104","SF","0","Dd","1","64","1","132","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588207088.390116","CgShqlDTmsK9nIisk","10.0.1.4","60829","10.0.1.6","55121","tcp","","","","","S0","0","S","1","52","0","0","fc:bd:67:e1:a9:c1","00:0d:3a:13:e3:69"
"conn","bobs.bigwheel.local","zeek","1588207094.42524","CbP5yX3ty60AjruAHc","10.0.1.6","57055","10.0.0.4","389","tcp","","0.007080078125","2391","1273","RSTR","0","ShADadFr","8","873","8","1605","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588207094.436007","CVE7vg2OjD0OkJY3kh","10.0.1.6","57057","10.0.0.4","389","tcp","","0.00666499137878418","2391","1273","RSTR","0","ShADadFr","8","873","8","1605","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588207094.432738","CbIjvF1imuPAgzeN55","10.0.1.6","57056","10.0.0.4","389","tcp","","0.009953975677490234","2206","937","RSTR","0","ShADadFr","7","648","7","1229","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588207094.444747","CVUi544KfwsJyI6hg5","10.0.1.6","57058","10.0.0.4","88","tcp","krb_tcp","0.0020351409912109375","221","182","RSTR","0","ShADdFar","4","393","4","354","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588207094.453001","CmDmnVOfj7hoIk8g2","10.0.1.6","57059","10.0.0.4","88","tcp","krb_tcp","0.003325939178466797","301","1535","RSTR","0","ShADdFar","5","513","5","1747","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588207094.455702","C3qmoH3VkFesyUCx28","10.0.1.6","57060","10.0.0.4","88","tcp","krb_tcp","0.0033788681030273438","1443","1465","RSTR","0","ShADadFr","5","172","6","1717","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588207094.656751","COYNjm1UOZYO9pE3X5","10.0.1.4","60831","10.0.1.6","55121","tcp","","3.012385129928589","0","0","S0","0","S","3","156","0","0","fc:bd:67:e1:a9:c1","00:0d:3a:13:e3:69"
"conn","bobs.bigwheel.local","zeek","1588207101.6697","CS5TFuSzVwONjJQV6","10.0.1.4","60831","10.0.1.6","55121","tcp","","","","","S0","0","S","1","52","0","0","fc:bd:67:e1:a9:c1","00:0d:3a:13:e3:69"
"conn","bobs.bigwheel.local","zeek","1588207109.672724","CmFxOU2eg31RGcOMti","10.0.1.4","60831","10.0.1.6","55121","tcp","","","","","S0","0","S","1","52","0","0","fc:bd:67:e1:a9:c1","00:0d:3a:13:e3:69"
"conn","bobs.bigwheel.local","zeek","1588207073.357015","CKKmRS3T0bKMiCJ4Gi","10.0.1.4","60828","10.0.1.6","135","tcp","dce_rpc","42.32703900337219","496","452","RSTO","0","ShADdR","8","828","4","624","fc:bd:67:e1:a9:c1","00:0d:3a:13:e3:69"
"conn","bobs.bigwheel.local","zeek","1588207073.31099","CptRVl4tdX3yPhofCb","10.0.1.4","60824","10.0.1.6","445","tcp","gssapi","53.644521951675415","193627","30239","RSTO","0","ShADdaR","100","197639","91","14727","fc:bd:67:e1:a9:c1","00:0d:3a:13:e3:69"
"conn","bobs.bigwheel.local","zeek","1588207119.479847","CLDsQo2Vwzz85Jdsf7","10.0.1.6","57063","10.0.0.4","135","tcp","dce_rpc","14.992820024490356","328","280","SF","0","ShADdtFaf","7","632","6","704","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588207119.483999","CrTk8R2roAs8AgVzO3","10.0.1.6","57064","10.0.0.4","49667","tcp","dce_rpc","34.98910403251648","2823","1034","SF","0","ShADadtFf","10","1264","10","1586","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588207182.597138","CWQW4x4XMa0XupfGT4","10.0.1.4","60838","10.0.1.6","445","tcp","gssapi","0.02571702003479004","301","1144","RSTO","0","ShADdR","5","513","3","1276","fc:bd:67:e1:a9:c1","00:0d:3a:13:e3:69"
"conn","bobs.bigwheel.local","zeek","1588207182.711929","CPEQ6a2tqgC1Ct67f4","10.0.1.4","60839","10.0.1.6","80","tcp","","3.0108020305633545","0","0","S0","0","S","3","156","0","0","fc:bd:67:e1:a9:c1","00:0d:3a:13:e3:69"
"conn","bobs.bigwheel.local","zeek","1588207189.737575","Cnhgs2jPwa0i2NvKb","10.0.1.4","60839","10.0.1.6","80","tcp","","","","","S0","0","S","1","52","0","0","fc:bd:67:e1:a9:c1","00:0d:3a:13:e3:69"
"conn","bobs.bigwheel.local","zeek","1588207197.75212","CDEhm9Aum8g5ur19g","10.0.1.4","60839","10.0.1.6","80","tcp","","","","","S0","0","S","1","52","0","0","fc:bd:67:e1:a9:c1","00:0d:3a:13:e3:69"
"conn","bobs.bigwheel.local","zeek","1588207203.754964","Cp7RAAcWGY8iThYf1","10.0.1.4","60843","10.0.1.6","445","tcp","gssapi","0.005701780319213867","301","1144","RSTO","0","ShADdR","5","513","3","1276","fc:bd:67:e1:a9:c1","00:0d:3a:13:e3:69"
"conn","bobs.bigwheel.local","zeek","1588207203.762622","CiUnBhQshFlhYapu4","10.0.1.4","60844","10.0.1.6","445","tcp","","0.0031669139862060547","228","614","RSTO","0","ShADdR","4","400","2","706","fc:bd:67:e1:a9:c1","00:0d:3a:13:e3:69"
"conn","bobs.bigwheel.local","zeek","1588207203.766483","CJXGig2LyDB5eyQDO2","10.0.1.4","60845","10.0.1.6","445","tcp","","0.0031998157501220703","228","614","RSTO","0","ShADdR","4","400","2","706","fc:bd:67:e1:a9:c1","00:0d:3a:13:e3:69"
"conn","bobs.bigwheel.local","zeek","1588207203.771393","CebFl5e0Lla2GOWpl","10.0.1.4","60846","10.0.1.6","445","tcp","","0.0020580291748046875","228","614","RSTO","0","ShADdR","4","400","2","706","fc:bd:67:e1:a9:c1","00:0d:3a:13:e3:69"
"conn","bobs.bigwheel.local","zeek","1588207203.774184","Cfhi5r4B7tJKlIBfUj","10.0.1.4","60847","10.0.1.6","445","tcp","","0.002382993698120117","228","614","RSTO","0","ShADdR","4","400","2","706","fc:bd:67:e1:a9:c1","00:0d:3a:13:e3:69"
